飞扬直播源,#group#





移动央卫,#genre#
甘肃卫视|飞扬直播,http://live1.jzjsnm.cn/live1/gansu_sd.m3u8?auth_key=1674384828826-0-0-d9a684f8f64614eb974c5c6069fd7ea1
陕西卫视|飞扬直播,http://live1.jzjsnm.cn/live1/sanxi_sd.m3u8?auth_key=1674384817144-0-0-2476be9217cd970a343f814c223684bb
青海卫视|飞扬直播,http://live1.jzjsnm.cn/live1/qinghai_sd.m3u8?auth_key=1674384821565-0-0-1fd4fa0cf1f181cb7f18ca6c29b017e5
海南卫视|飞扬直播,http://live1.jzjsnm.cn/live1/hainan_sd.m3u8?auth_key=1674384790084-0-0-3fc253fac33ed7e4f1e21db277d67f2a
贵州卫视|飞扬直播,http://live1.jzjsnm.cn/live1/guizhou_sd.m3u8?auth_key=1674384798657-0-0-8df7415dfe060b882d402cf7b8b220d0
西藏卫视|飞扬直播,http://live1.jzjsnm.cn/live1/xizang_sd.m3u8?auth_key=1674384806767-0-0-f6a9fd6bf153fbcf1154eb8a9a78512d
内蒙古卫视|飞扬直播,http://live1.jzjsnm.cn/live1/neimenggu_sd.m3u8?auth_key=1674384714923-0-0-269b80260d7b33d09020a97e5ad3c99b
宁夏卫视|飞扬直播,http://live1.jzjsnm.cn/live1/ningxia_sd.m3u8?auth_key=1674384832988-0-0-310bf6a46794884a574b4180be3ef5d1
延边卫视|飞扬直播,http://live1.jzjsnm.cn/live1/yanbian_sd.m3u8?auth_key=1674380606234-0-0-b6abfdf9258f0d77f120b9b820ba4bd0
兵团卫视|飞扬直播,http://live1.jzjsnm.cn/live1/bingtuan_sd.m3u8?auth_key=1674384824936-0-0-9dbbc3c7a6c08ec584bfaffab54d6399






飞扬轮播,#genre#























李子柒|飞扬直播,http://live.chinacert.cftest5.cn/huya/21969336
李子柒|飞扬直播,http://tv.ximix.us/huya/21969336
航拍中国|飞扬直播,http://live.chinacert.cftest5.cn/huya/22414123
航拍中国|飞扬直播,http://tv.ximix.us/huya/22414123
庆余年1|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352960
庆余年2|飞扬直播,http://live.chinacert.cftest5.cn/huya/23740156
周星驰国语|飞扬直播,http://live.chinacert.cftest5.cn/huya/11342412
周星驰粤语|飞扬直播,http://live.chinacert.cftest5.cn/huya/11336587
林正英|飞扬直播,http://live.chinacert.cftest5.cn/huya/11342421
周润发|飞扬直播,http://live.chinacert.cftest5.cn/huya/11342387
成龙|飞扬直播,http://live.chinacert.cftest5.cn/huya/11342386
甄子丹|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352935
王晶|飞扬直播,http://live.chinacert.cftest5.cn/huya/11602058
沈腾|飞扬直播,http://live.chinacert.cftest5.cn/huya/11601968
狄仁杰|飞扬直播,http://live.chinacert.cftest5.cn/huya/30080229
黄渤|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352876
强森|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059581
李连杰|飞扬直播,http://live.chinacert.cftest5.cn/huya/11342390
洪金宝|飞扬直播,http://live.chinacert.cftest5.cn/huya/11279251
梁家辉|飞扬直播,http://live.chinacert.cftest5.cn/huya/11342429
刘德华|飞扬直播,http://live.chinacert.cftest5.cn/huya/11342424
斯坦森|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059588
许冠英|飞扬直播,http://live.chinacert.cftest5.cn/huya/11601972
五福星|飞扬直播,http://live.chinacert.cftest5.cn/huya/11282233
邱淑贞|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352949
徐克|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352909
斗罗大陆|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352906
小鬼头|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352963
八点档|飞扬直播,http://live.chinacert.cftest5.cn/huya/880261
释小龙|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059599
宇宙|飞扬直播,http://live.chinacert.cftest5.cn/huya/11342428
怪兽|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059577
武侠|飞扬直播,http://live.chinacert.cftest5.cn/huya/11342427
警匪|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352886
罪犯|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352962
枪战|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059579
海盗|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059595
赛车|飞扬直播,http://live.chinacert.cftest5.cn/huya/11279247
动作|飞扬直播,http://live.chinacert.cftest5.cn/huya/11602041
救援|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059594
热血|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352934
盗墓|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059552
贺岁|飞扬直播,http://live.chinacert.cftest5.cn/huya/11601971
玄幻|飞扬直播,http://live.chinacert.cftest5.cn/huya/11342414
谍战|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059585
战争|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059592
喜剧|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352877
港片|飞扬直播,http://live.chinacert.cftest5.cn/huya/11602043
国产|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352973
贺岁片|飞扬直播,http://live.chinacert.cftest5.cn/huya/11601986
功夫片|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352941
黑帮片|飞扬直播,http://live.chinacert.cftest5.cn/huya/11336719
丧尸片|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059578
灾难片|飞扬直播,http://live.chinacert.cftest5.cn/huya/11602075
谍战片|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059587
战争片|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059574
犯罪片|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352974
古装片|飞扬直播,http://live.chinacert.cftest5.cn/huya/11336590
高分动作|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352884
动作电影|飞扬直播,http://live.chinacert.cftest5.cn/huya/11602077
搞笑喜剧|飞扬直播,http://live.chinacert.cftest5.cn/huya/11342423
喜剧专场|飞扬直播,http://live.chinacert.cftest5.cn/huya/11602044
欢笑影院|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352894
不挤影院|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352897
国产悬疑|飞扬直播,http://live.chinacert.cftest5.cn/huya/11342395
快意江湖|飞扬直播,http://live.chinacert.cftest5.cn/huya/11342435
黑帮斗争|飞扬直播,http://live.chinacert.cftest5.cn/huya/11342419
嫣然影厅|飞扬直播,http://live.chinacert.cftest5.cn/huya/11601977
许氏三杰|飞扬直播,http://live.chinacert.cftest5.cn/huya/11602033
经典港片|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352965
镖行天下|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352969
高能反转|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352887
喜乐影院|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059580
蘑菇影厅|飞扬直播,http://live.chinacert.cftest5.cn/huya/11601981
搞笑恐怖|飞扬直播,http://live.chinacert.cftest5.cn/huya/11601960
死神来了|飞扬直播,http://live.chinacert.cftest5.cn/huya/11352903
变形金刚|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059596
怪兽系列|飞扬直播,http://live.chinacert.cftest5.cn/huya/21059554
五哈兄弟|飞扬直播,http://39.108.209.49:2999/huya/30080247
奔跑吧兄弟|飞扬直播,http://39.108.209.49:2999/huya/29465870
